name,url,target_total,max_per_order,ticket_index
Pete Yorn,https://www.etix.com/ticket/p/51504560/25th-anniversary-of-musicforthemorningafter-pete-yorn-solo-acoustic-raleigh-lincoln-theatre?gclid=,80,8,
Niko Moon,https://www.etix.com/ticket/p/46216623/niko-moonthe-american-palm-tour-oklahoma-city-the-jones-assembly?gclid=,96,6,1.0
Max McNown,https://www.etix.com/ticket/p/67441667/max-mcnown-the-cost-of-growing-up-tour-oklahoma-city-the-jones-assembly?gclid=,88,4,1.0
Black Label Society,https://www.etix.com/ticket/p/46129613/black-label-society-oklahoma-city-diamond-ballroom?gclid=,96,6,
Orbit Culture,https://www.etix.com/ticket/p/32479639/orbit-culture-oklahoma-city-diamond-ballroom?gclid=,96,6,2.0
Magnolia Park,https://www.etix.com/ticket/p/57742045/magnolia-park-nights-after-vamp-tour-raleigh-lincoln-theatre?gclid=,80,4,
